title,start_date,end_date,status,dropped_episode,other
くノ一ツバキの胸の内,22/5/1,22/6/29,complete,,
宇宙パトロールルル子,22/5/1,22/5/11,complete,,
ひぐらしのなく頃に 礼,22/5/1,22/5/8,complete,,
この世界のさらにいくつもの片隅に,22/5/8,22/5/8,complete,,
ひぐらしのなく頃に 煌,22/5/9,22/5/11,complete,,
ひぐらしのなく頃に 業,22/5/11,22/5/22,complete,,
岸辺露伴は動かない,22/5/11,22/5/13,complete,,
NEW GAME! (rewatch),22/5/12,,ongoing,,
盾の勇者の成り上がり Season2,22/5/14,22/7/1,complete,,
パリピ孔明,22/5/15,22/7/1,complete,,
バブル,22/5/18,22/5/18,complete,,
映画「五等分の花嫁」,22/5/22,22/5/22,complete,,
ひぐらしのなく頃に 卒,22/5/23,22/5/31,complete,,
SPY×FAMILY,22/5/23,22/6/28,complete,,
RPG不動産,22/5/24,,drop,2
処刑少女の生きる道,22/5/25,,drop,7
宇宙よりも遠い場所(rewatch),22/5/27,,ongoing,,
乙女ゲーム世界はモブに厳しい世界です,22/6/3,22/7/3,drop,6
Another,22/6/5,22/6/12,complete,,
トモダチゲーム,22/6/8,22/6/24,complete,,
劇場版 異世界かるてっと ～あなざーわーるど～,22/6/10,22/6/10,complete,,
劇場版 からかい上手の高木さん,22/6/11,22/6/11,complete,,
であいもん,22/6/12,22/7/4,complete,,
本好きの下剋上～司書になるためには手段を選んでいられません～,22/6/13,22/6/22,complete,,
本好きの下剋上～司書になるためには手段を選んでいられません～ 第2期,22/6/22,,drop,5
はたらく魔王さま！,22/6/29,22/7/21,complete,,
ようこそ実力至上主義の教室へ,22/6/29,22/7/20,complete,,
メイドインアビス 烈日の黄金郷,22/7/3,22/10/1,complete,,
うたわれるもの,22/7/4,,drop,2
オーバーロード,22/7/4,22/7/11,complete,,
勇者、辞めます,22/7/6,22/7/19,complete,,
映画『ゆるキャン△』,22/7/10,22/7/10,complete,,
オーバーロードII,22/7/11,22/7/15,complete,,
オーバーロードIII,22/7/15,22/7/20,complete,,
オーバーロードIV,22/7/21,22/10/5,complete,,
ようこそ実力至上主義の教室へ 2nd Season,22/7/22,,drop,5
リコリス・リコイル,22/7/22,22/9/28,complete,,
彼女、お借りします Season2,22/7/23,22/9/26,complete,,
＊異世界おじさん,22/7/24,,ongoing,,
月がきれい,22/7/26,22/8/4,complete,,
